melon_chart,song,singer,count,start_date,end_date
1,Blueming,아이유,3226,2019-11-13 00:00:00,2019-11-20 00:00:00
2,늦은 밤 너의 집 앞 골목길에서,노을,64,2019-11-13 00:00:00,2019-11-20 00:00:00
3,Love poem,아이유,834,2019-11-13 00:00:00,2019-11-20 00:00:00
4,이 번호로 전화해줘,바이브,58,2019-11-13 00:00:00,2019-11-20 00:00:00
5,시간의 바깥,아이유,1810,2019-11-13 00:00:00,2019-11-20 00:00:00
6,HIP,마마무,6390,2019-11-13 00:00:00,2019-11-20 00:00:00
7,unlucky,아이유,264,2019-11-13 00:00:00,2019-11-20 00:00:00
8,그 사람,아이유,417,2019-11-13 00:00:00,2019-11-20 00:00:00
9,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU ,86,2019-11-13 00:00:00,2019-11-20 00:00:00
10,자장가,아이유,263,2019-11-13 00:00:00,2019-11-20 00:00:00
11,새 사랑,송하예,24,2019-11-13 00:00:00,2019-11-20 00:00:00
12,조금 취했어 ,임재현,16,2019-11-13 00:00:00,2019-11-20 00:00:00
13,인기 ,MC몽,14,2019-11-13 00:00:00,2019-11-20 00:00:00
14,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,16,2019-11-13 00:00:00,2019-11-20 00:00:00
15,사랑이란 멜로는 없어,전상근,18,2019-11-13 00:00:00,2019-11-20 00:00:00
16,있어줘요,장덕철,6,2019-11-13 00:00:00,2019-11-20 00:00:00
17,불티 ,태연 ,244,2019-11-13 00:00:00,2019-11-20 00:00:00
18,이별주,황인욱,4,2019-11-13 00:00:00,2019-11-20 00:00:00
19,오늘도 빛나는 너에게 ,마크툽 ,61,2019-11-13 00:00:00,2019-11-20 00:00:00
20,안녕,폴킴,54,2019-11-13 00:00:00,2019-11-20 00:00:00
21,시든 꽃에 물을 주듯,HYNN ,18,2019-11-13 00:00:00,2019-11-20 00:00:00
22,포장마차,황인욱,10,2019-11-13 00:00:00,2019-11-20 00:00:00
23,니 소식,송하예,24,2019-11-13 00:00:00,2019-11-20 00:00:00
24,차가워진 이 바람엔 우리가 써있어,HYNN ,25,2019-11-13 00:00:00,2019-11-20 00:00:00
25,샤넬 ,MC몽,6,2019-11-13 00:00:00,2019-11-20 00:00:00
26,LION,,6,2019-11-13 00:00:00,2019-11-20 00:00:00
27,워커홀릭,볼빨간사춘기,24,2019-11-13 00:00:00,2019-11-20 00:00:00
28,작은 것들을 위한 시 ,방탄소년단,207,2019-11-13 00:00:00,2019-11-20 00:00:00
29,허전해,폴킴,49,2019-11-13 00:00:00,2019-11-20 00:00:00
30,2002,Anne-Marie,792,2019-11-13 00:00:00,2019-11-20 00:00:00
31,사랑에 연습이 있었다면 ,임재현,6,2019-11-13 00:00:00,2019-11-20 00:00:00
32,가을밤 떠난 너,케이시 ,11,2019-11-13 00:00:00,2019-11-20 00:00:00
33,다시 만날까 봐,V.O.S,0,2019-11-13 00:00:00,2019-11-20 00:00:00
34,사랑이 식었다고 말해도 돼,먼데이 키즈 ,6,2019-11-13 00:00:00,2019-11-20 00:00:00
35,우리 어떻게 할까요,첸 ,99,2019-11-13 00:00:00,2019-11-20 00:00:00
36,기억해줘요 내 모든 날과 그때를,거미,5,2019-11-13 00:00:00,2019-11-20 00:00:00
37,헤어지자 ,휘인 ,24,2019-11-13 00:00:00,2019-11-20 00:00:00
38,Señorita,Camila Cabello,1354,2019-11-13 00:00:00,2019-11-20 00:00:00
39,BAND,Shawn Mendes,41,2019-11-13 00:00:00,2019-11-20 00:00:00
40,술이 문제야,Camila Cabello,0,2019-11-13 00:00:00,2019-11-20 00:00:00
41,꿈속에 너 ,Shawn Mendes,0,2019-11-13 00:00:00,2019-11-20 00:00:00
42,5월의 밤,Camila Cabello,0,2019-11-13 00:00:00,2019-11-20 00:00:00
43,이별은 늘 그렇게 ,Hash Swan,0,2019-11-13 00:00:00,2019-11-20 00:00:00
44,Feel Special,ASH ISLAND,0,2019-11-13 00:00:00,2019-11-20 00:00:00
45,"모든 날, 모든 순간 ",김효은,0,2019-11-13 00:00:00,2019-11-20 00:00:00
46,그대라는 시,창모 ,0,2019-11-13 00:00:00,2019-11-20 00:00:00
47,떨어지는 낙엽까지도,Hash Swan,0,2019-11-13 00:00:00,2019-11-20 00:00:00
48,bad guy,ASH ISLAND,0,2019-11-13 00:00:00,2019-11-20 00:00:00
49,안녕이라는 말,김효은,0,2019-11-13 00:00:00,2019-11-20 00:00:00
50,Forever 84,창모 ,1,2019-11-13 00:00:00,2019-11-20 00:00:00
