,keyword,sweet,bitter,fruity,acidity,aging,soft
0,fruit,0,0,2,0,-1,0
1,acidity,0,0,0,x,0,0
2,tannins,0,x,0,0,0,0
3,cherry,0,0,2,0,0,0
4,ripe,0,0,1,0,0,0
5,dry,0,0,0,0,0,-2
6,sweet,x,0,0,0,0,0
7,oak,0,0,0,0,2,0
8,soft,0,0,0,0,0,2
9,berry,0,0,2,0,0,0
10,blackberry,0,0,2,0,0,0
11,vanilla,0,0,0,0,1,0
12,plum,0,0,2,0,0,0
13,citrus,0,0,0,2,0,0
14,chocolate,2,0,0,0,0,0
15,apple,0,0,2,0,0,0
16,raspberry,0,0,2,0,0,0
17,pepper,0,0,0,0,1,0
18,fruity,0,0,2,0,0,0
19,peach,0,0,2,0,0,0
20,spicy,0,0,0,0,1,0
21,smooth,0,0,0,0,0,2
22,tannic,0,1,0,0,0,0
23,cherries,0,0,2,0,0,0
24,juicy,0,0,1,0,0,0
25,cola,0,0,0,0,1,0
26,wood,0,0,0,0,2,0
27,pear,0,0,2,0,0,0
28,tart,0,0,0,1,0,0
29,cream,0,0,0,0,0,2
30,mineral,0,0,0,1,1,-1
31,tobacco,0,0,0,0,1,0
32,lemon,0,0,0,2,0,0
33,smoky,0,0,0,0,2,0
34,licorice,1,0,0,0,0,0
35,leather,0,0,0,0,2,0
36,pineapple,1,0,1,1,0,0
37,dense,0,0,0,0,0,-1
38,aging,0,0,0,0,2,0
39,coffee,0,2,0,0,0,0
40,alcohol,0,0,0,0,0,-2
41,vintage,0,0,0,0,1,0
42,earthy,0,0,0,0,2,0
43,young,0,0,0,0,-2,0
44,honey,2,0,0,0,0,0
45,melon,1,0,1,0,0,0
46,lime,0,0,0,2,0,0
47,orange,0,0,2,2,0,0
48,herb,0,0,0,0,1,0
49,fullbodied,0,0,0,0,0,2
50,blackberries,0,0,2,0,0,0
51,herbs,0,0,0,0,1,0
52,silky,0,0,0,0,0,2
53,earth,0,0,0,0,2,0
54,tropical,0,0,2,0,0,0
55,jammy,2,0,1,0,0,0
56,grapefruit,0,0,0,1,0,0
57,apricot,1,0,0,1,0,0
58,floral,0,0,0,0,-2,0
59,cinnamon,0,0,0,0,1,0
60,cedar,0,0,0,0,1,0
61,minerality,0,0,0,x,x,0
62,sweetness,x,0,0,0,0,0
63,hard,0,0,0,0,0,-2
64,strawberry,0,0,2,0,0,0
65,stone,0,0,0,0,1,1
66,smoke,0,0,0,0,2,0
67,spices,0,0,0,0,1,0
68,espresso,-2,2,0,0,0,0
69,tartness,0,0,0,1,0,0
70,ageworthy,0,0,0,0,2,0
71,unripe,0,0,-1,0,0,0
72,juiciness,0,0,1,0,0,0
73,drier,0,0,0,0,0,-2
74,mushroom,0,0,0,0,2,0
75,sweeter,1,0,0,0,0,0
76,unoaked,0,0,0,0,-2,0
77,roundness,0,0,0,0,0,2
78,underripe,0,0,-1,0,0,0
79,bouquet,0,0,0,0,2,0
80,bitter,-2,2,0,0,0,0
81,berries,0,0,1,0,0,0
82,caramel,2,0,0,0,0,0
83,oaky,0,0,0,0,1,0
84,blueberry,0,0,2,0,0,0
85,candied,1,0,0,0,0,0
86,peppery,0,0,0,0,1,0
87,tangy,0,0,0,2,0,0
88,raspberries,0,0,2,0,0,0
89,sugar,2,-2,0,0,0,0
90,zesty,0,0,0,2,0,0
91,sour,0,0,0,2,0,0
92,acidic,0,0,0,2,0,0
93,cocoa,1,1,0,0,0,0
94,zest,0,0,0,2,0,0
95,velvety,0,0,0,0,0,2
96,rounded,0,0,0,0,0,2
97,flower,0,0,0,0,-1,0
98,cranberry,0,0,2,1,0,0
99,candy,1,0,0,0,0,0
100,rose,0,0,0,0,-1,0
101,brisk,0,0,0,1,0,0
102,fragrant,0,0,1,0,-1,0
103,old,0,0,0,0,2,0
104,tangerine,0,0,0,2,0,0
105,mild,0,0,0,0,0,2
106,astringent,0,0,0,2,0,0
107,plush,0,0,0,0,0,2
108,rubber,0,0,0,0,2,0
